test_id,error_rate,target_error_rate,distance,original,final,word_count
1,0.0,0.0,0.024967141530112327,The quick brown fox jumps over the lazy dog while carrying a large package through the forest.,The swift brown fox leaps over the lazy dog while carrying a big parcel through the woods.,17
2,0.1,0.1,0.04861735698828815,The quick brown fox jumps over the lazy dog while carrying a large package through the forest.,The swift brown fox leaps over the lazy dog while carrying a big parcel through the woods.,17
3,0.25,0.25,0.19295377076201384,The quick brown fox jumps over the lazy dog while carrying a large package through the forest.,The swift brown fox leaps over the lazy dog while carrying a big parcel through the woods.,17
4,0.375,0.375,0.3267700875051282,The quick brown fox jumps over the lazy dog while carrying a large package through the forest.,The swift brown fox leaps over the lazy dog while carrying a big parcel through the woods.,17
5,0.5,0.5,0.4118608369582831,The quick brown fox jumps over the lazy dog while carrying a large package through the forest.,The swift brown fox leaps over the lazy dog while carrying a big parcel through the woods.,17
6,0.0,0.0,0.017658630430508193,Scientists discovered remarkable patterns in the data that could revolutionize our understanding of climate change.,Scientists found remarkable patterns in data that could revolutionize our understanding of climate change.,15
7,0.1,0.1,0.06579212815507392,Scientists discovered remarkable patterns in the data that could revolutionize our understanding of climate change.,Scientists found remarkable patterns in data that could revolutionize our understanding of climate change.,15
8,0.25,0.25,0.19534869458305817,Scientists discovered remarkable patterns in the data that could revolutionize our understanding of climate change.,Scientists found remarkable patterns in data that could revolutionize our understanding of climate change.,15
9,0.375,0.375,0.2669949602348389,Scientists discovered remarkable patterns in the data that could revolutionize our understanding of climate change.,Scientists found remarkable patterns in data that could revolutionize our understanding of climate change.,15
10,0.5,0.5,0.4351622395075621,Scientists discovered remarkable patterns in the data that could revolutionize our understanding of climate change.,Scientists found remarkable patterns in data that could revolutionize our understanding of climate change.,15
11,0.0,0.0,0.015365823071875378,The ancient library contained thousands of manuscripts written in languages that have been lost to history.,The old library held thousands of manuscripts written in languages lost to history.,16
12,0.1,0.1,0.04534270246429743,The ancient library contained thousands of manuscripts written in languages that have been lost to history.,The old library held thousands of manuscripts written in languages lost to history.,16
13,0.25,0.25,0.1848392454313207,The ancient library contained thousands of manuscripts written in languages that have been lost to history.,The old library held thousands of manuscripts written in languages lost to history.,16
14,0.375,0.375,0.22368078447315348,The ancient library contained thousands of manuscripts written in languages that have been lost to history.,The old library held thousands of manuscripts written in languages lost to history.,16
15,0.5,0.5,0.3671379032245922,The ancient library contained thousands of manuscripts written in languages that have been lost to history.,The old library held thousands of manuscripts written in languages lost to history.,16
16,0.0,0.0,0.014377124707590273,"Modern technology enables people to communicate instantly across vast distances, transforming how we work and live.","Modern technology allows people to communicate instantly across great distances, changing how we work and live.",16
17,0.1,0.1,0.039871688796655765,"Modern technology enables people to communicate instantly across vast distances, transforming how we work and live.","Modern technology allows people to communicate instantly across great distances, changing how we work and live.",16
18,0.25,0.25,0.18628494665190548,"Modern technology enables people to communicate instantly across vast distances, transforming how we work and live.","Modern technology allows people to communicate instantly across great distances, changing how we work and live.",16
19,0.375,0.375,0.2538384695472511,"Modern technology enables people to communicate instantly across vast distances, transforming how we work and live.","Modern technology allows people to communicate instantly across great distances, changing how we work and live.",16
20,0.5,0.5,0.37651632715992445,"Modern technology enables people to communicate instantly across vast distances, transforming how we work and live.","Modern technology allows people to communicate instantly across great distances, changing how we work and live.",16
21,0.0,0.0,0.034656487689215545,"The chef carefully prepared the elaborate meal, combining traditional techniques with innovative culinary approaches.","The chef carefully made the elaborate meal, mixing traditional methods with innovative cooking approaches.",14
22,0.1,0.1,0.04774223699513465,"The chef carefully prepared the elaborate meal, combining traditional techniques with innovative culinary approaches.","The chef carefully made the elaborate meal, mixing traditional methods with innovative cooking approaches.",14
23,0.25,0.25,0.18135056409375847,"The chef carefully prepared the elaborate meal, combining traditional techniques with innovative culinary approaches.","The chef carefully made the elaborate meal, mixing traditional methods with innovative cooking approaches.",14
24,0.375,0.375,0.23833674622648374,"The chef carefully prepared the elaborate meal, combining traditional techniques with innovative culinary approaches.","The chef carefully made the elaborate meal, mixing traditional methods with innovative cooking approaches.",14
25,0.5,0.5,0.4025539564642277,"The chef carefully prepared the elaborate meal, combining traditional techniques with innovative culinary approaches.","The chef carefully made the elaborate meal, mixing traditional methods with innovative cooking approaches.",14
26,0.0,0.0,0.02110922589709866,Students gathered in the auditorium to hear the inspiring lecture about achievements in space exploration.,Students gathered in the hall to hear an inspiring lecture about achievements in space exploration.,15
27,0.1,0.1,0.03849006422577697,Students gathered in the auditorium to hear the inspiring lecture about achievements in space exploration.,Students gathered in the hall to hear an inspiring lecture about achievements in space exploration.,15
28,0.25,0.25,0.18751396036691342,Students gathered in the auditorium to hear the inspiring lecture about achievements in space exploration.,Students gathered in the hall to hear an inspiring lecture about achievements in space exploration.,15
29,0.375,0.375,0.2630600311153233,Students gathered in the auditorium to hear the inspiring lecture about achievements in space exploration.,Students gathered in the hall to hear an inspiring lecture about achievements in space exploration.,15
30,0.5,0.5,0.4101346257061849,Students gathered in the auditorium to hear the inspiring lecture about achievements in space exploration.,Students gathered in the hall to hear an inspiring lecture about achievements in space exploration.,15
